"","Table 2#3#5U# Personal Consumption Expenditures by Major Type of","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"153","26","E1FXA1 C   Food excluding alcoholic beverages","E1FXA10",597240,599949,597698,602606,607072,607420,608422,610632,618359,615851,618323,620203,611882,624490,627975,629878,630547,637774,637763,640645,644020,645274,645978,648657,652078,645005,648820,650938,654446,653850,654046,656569,656790,657353,657673,664363,662223,665677,670007,674252,676026,677334,680180,679997,683097,689034,692962,693332,697041,698903,700417,699163,696613,699266,705848,706894,708376,706893,707223,707790,713208,714824,722115,723410,727667,733668,733729,738144,741169,744877,749292,751563,748673,755781,757358,761324,768890,765631,768035,773799,779644,782124,788667,810116,790445,798057,812023,811337,811218,819229,821130,820126,825784,830791,827796,829926,843216,843320,841273,846076,851471,851281,856740,864059,859645,866855,864062,878612,877143,878250,879103,884678,882196,884736,887332,885784,886548,889354,897136,898442,904058,906412,914278,910315,911225,922934,928216,942268,938942,945521,954182,953252,973967,974442,987237,986330,997839,998601,1002622,1004755,1017788,1027674,1029144,1035026,1041529,1050633,1044792,1057727,1061382,1075961,1078406,1086443,1088299,1094462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","27","E1ALC1 C   Alcoholic beverages","E1ALC10",82850,82969,82215,82805,82903,83411,83668,83583,83810,83638,83552,83019,82961,84354,85346,84898,85249,85417,85607,85303,85898,85591,85656,85863,85957,84759,85099,86089,86224,86311,86779,86933,87680,87273,87201,87982,88605,88370,89375,89658,89348,90256,90465,90583,90307,90592,91168,91311,91610,91987,93373,92182,92035,93036,93959,94218,94302,94441,94398,94436,95149,96088,95822,95897,96131,96736,96761,97611,97612,98011,98762,99227,97541,99092,99646,101113,101145,100652,100783,101511,102452,103225,103854,106374,104921,106496,108760,107416,108175,108873,109526,109464,109880,110838,110604,109154,112002,111209,110389,111412,112771,112728,112218,113316,112617,112880,112646,114138,114815,115034,115673,116362,116315,116581,116914,115359,115276,115366,116200,118227,117563,117790,119604,118979,118427,119363,120934,123414,123070,123327,124109,124178,127488,127589,128739,128996,131169,131574,131937,131910,133846,136274,135706,135267,136645,139733,139180,140719,141552,143977,144959,146509,147769,148756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","28","E1TOB1 C   Tobacco products","E1TOB10",50341,50634,50915,50772,50819,50254,50175,48362,45574,45330,45455,45782,46489,46538,46666,46784,47347,47391,47606,47778,47612,47783,47911,48034,48094,48259,48269,48455,49018,49335,49314,49669,49893,49921,50177,50059,50428,50588,50869,50830,51468,51439,51607,51646,51819,52073,52333,51931,52432,52644,52845,53909,54059,53426,53530,53792,54343,55062,55069,55069,55564,57064,55303,57203,58442,57466,58756,58441,60296,60370,59349,68898,72965,71371,68377,70968,69791,69073,71413,70031,74592,74286,73522,73393,74843,76463,77318,80615,78386,77330,79698,78315,80998,78699,81420,78427,80212,81117,80994,84121,82961,83331,87239,83853,87554,84658,87812,84685,84688,87737,84438,89702,87095,90449,90191,92102,93332,90186,89902,90046,89750,89557,88271,88209,87551,86958,87808,88119,87372,87314,87081,87182,87599,87386,87426,87198,87064,87377,88036,88064,88126,87860,87571,87936,89504,89805,89808,89759,89833,89699,90598,91056,91592,91363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","29","E1CAJ1 C Clothing, accessories, and jewelry","E1CAJ10",293376,285801,282808,288988,292033,293750,296653,295055,296821,297547,299199,298394,297979,301124,305756,304328,300596,303727,305310,308768,307390,313191,313208,314086,313425,305767,310945,310195,313319,313709,317142,312920,321259,313954,320268,321000,316769,323322,324853,326720,327256,327541,326261,327857,330974,332381,330170,332282,331402,332906,333154,331500,331897,336301,339204,340540,341034,341699,344608,344927,347257,350755,351912,354066,354460,356840,357048,358441,354836,361204,364060,364241,369239,372046,374855,375506,380171,381063,380278,381558,383582,384386,384059,388269,386229,389047,395697,392596,398262,394420,397222,398287,406192,401228,402151,402108,405160,401372,394053,397851,395419,394120,396293,399738,384717,398176,397260,401488,403844,407404,406412,410742,403322,407439,404062,406652,399503,412113,409547,412818,410340,406049,409377,409348,414244,419369,423012,426526,427740,426713,430783,433459,438187,439627,447325,437612,444241,442298,444591,443129,447951,454482,453070,453885,459192,465758,458994,465966,465265,472748,467217,469807,465136,473401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","30","E1PCR1 C Personal care","E1PCR10",63220,63468,63395,63734,64108,63979,64519,64453,65317,65267,65632,66154,65961,65818,66492,67036,67320,68179,68353,68976,69244,69535,69848,70417,71167,70935,71603,71915,72237,72730,72922,73092,73888,73828,74316,74742,73844,74940,75705,76089,76746,76692,77137,77119,77724,78736,79331,79991,80232,81378,82152,81902,81962,82955,83635,83693,83890,83909,84480,84244,84889,84843,84976,85318,85485,85965,86357,86952,86860,87029,87611,87851,87866,88281,88619,88549,89062,89104,88819,89115,89785,90026,90797,93387,91518,91825,92821,92381,93139,93247,93467,93549,94614,94634,94599,94671,94401,93937,93457,94168,94834,94262,94564,94710,93565,95130,95273,95992,96175,96852,96838,98106,96899,96505,96422,96541,96854,97106,96344,96131,96160,96436,96472,96759,97022,98135,99085,100041,100195,100335,100614,100965,101221,100823,103051,102061,102314,102920,102939,103736,104378,104479,104725,104852,106864,106765,107018,107066,107619,108314,108719,108830,109312,109729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","31","E1HOS1 B Housing","E1HOS10",671898,672784,674006,677259,679219,681848,684349,687069,689488,692447,695597,700663,704883,711322,715689,718166,720894,724286,727308,731473,735784,738399,741767,743739,747568,749890,753505,756532,760275,763362,765765,768278,772218,775305,778952,780978,783257,785219,790159,792167,795157,797990,801788,804948,807483,811161,814330,817445,821516,825361,828400,832814,836396,840681,844278,848968,851928,855370,860165,865478,870629,874433,878023,882687,887788,893384,897226,901518,905682,910555,914804,918612,925899,929982,934797,938341,942517,945996,950688,954222,958525,961858,967385,970738,978525,982685,990074,993497,999117,1003919,1008053,1013198,1019596,1024334,1030186,1034284,1041057,1046790,1053226,1058934,1065732,1072241,1077860,1085067,1083968,1092105,1100079,1107474,1109603,1113793,1115424,1119625,1120718,1122828,1124875,1126737,1127079,1130057,1131172,1135441,1138912,1142273,1144239,1146132,1149686,1152734,1158460,1163341,1165499,1172516,1178270,1184276,1190173,1194401,1202882,1208330,1213993,1219431,1225120,1229584,1235151,1240500,1243908,1249695,1255829,1260116,1265868,1270808,1275454,1279631,1284699,1287862,1292121,1299292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","32","E1HHO1 C Household operation","E1HHO10",473131,489838,486709,487024,486461,498628,500755,505162,510057,509916,505574,516440,515368,521224,521508,519267,525944,541021,529188,536140,535322,538243,534877,536869,538326,541575,533049,544228,550186,551747,561445,566901,557999,554874,569620,571790,566691,579337,581449,583639,588983,585244,580990,588221,587355,595656,600666,601081,606472,605765,600121,612240,608820,607879,618673,614939,621770,636457,627781,634074,621001,630680,637670,632621,642706,651627,648897,648545,650472,644189,644141,649634,654733,652333,666633,665379,668881,676255,681006,684318,689381,688009,681759,693805,696458,699728,695630,705667,714275,720636,719653,725151,729547,730820,737124,756651,752818,748716,751581,737285,741776,740795,743579,741586,730518,738134,724548,732476,732697,739114,740162,745118,752116,746476,746197,747875,746095,758591,757133,757256,765299,769659,764165,769088,777907,775236,781885,787542,779594,789162,792424,797939,813704,812313,795608,804682,815347,815428,823220,823748,823749,831817,844637,848061,848354,853793,862372,852610,867233,875141,874369,881823,894096,903646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","33","E1MED1 C Medical care","E1MED10",790463,797452,796382,799155,803503,807169,812849,813636,816370,820259,824108,826615,831218,835723,839284,842420,848614,849349,854865,858579,863180,867647,872622,876317,883706,887883,894611,894861,899917,902456,904070,911592,913675,919080,920862,926849,927851,924678,935674,941656,943538,951120,951584,955080,960282,967307,970855,979263,972573,982347,985976,991376,993031,1e+06,1009468,1009659,1016266,1017206,1024742,1030884,1043815,1048747,1051900,1057129,1062764,1069435,1072300,1077551,1080221,1083324,1091808,1093515,1100109,1103676,1105581,1113303,1120475,1122669,1125601,1137569,1143676,1154396,1165983,1177117,1168597,1171962,1186440,1202736,1209069,1212644,1223674,1231554,1240400,1248784,1254162,1270072,1271538,1284990,1290985,1296015,1313252,1318445,1332835,1344594,1351691,1366322,1371694,1385363,1391691,1399274,1408563,1416543,1421450,1438107,1445315,1451787,1465517,1474856,1486455,1494951,1504428,1509430,1524593,1530298,1533910,1553378,1557449,1569337,1576335,1589334,1605364,1612811,1619120,1618693,1639348,1652743,1663168,1670010,1684647,1693537,1706993,1717058,1724602,1737014,1746173,1760932,1762934,1772371,1782952,1795324,1805120,1814687,1827503,1836591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","34","E1PBU1 C Personal business","E1PBU10",318446,321205,322504,325942,331471,331581,331037,333518,334227,338527,336118,335214,337167,336625,336639,332991,332983,331705,335224,338887,338663,337443,337187,337962,337027,339988,342238,344991,346587,348207,351851,352067,356210,355437,357644,362492,365300,368472,370457,370017,374865,375587,375319,375670,381541,380890,385607,388706,393290,399946,401929,400493,408729,409020,415754,421527,422369,426488,426659,428893,427803,435489,438094,439587,440981,441739,445470,452353,452319,455272,459262,464287,470637,470707,474081,484590,488243,485202,492309,494950,496147,500299,516845,524973,537110,553678,555746,543422,533071,532864,534603,535245,536564,536945,532104,537832,538168,532715,535131,538696,538580,536077,534884,539099,505337,544776,548953,545776,540178,543310,543588,541762,545541,544446,557672,549401,545054,549540,555290,548113,546909,547906,552782,554174,568482,571468,570179,570667,579275,579971,588396,591807,598066,598316,599694,605115,605629,604537,611949,615213,617726,620433,629859,639311,635121,637454,638699,642760,646623,650521,650593,656340,660123,660704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","35","E1TRN1 C Transportation","E1TRN10",505554,501517,500737,514734,521091,515686,522128,520147,524464,537269,542584,543839,550413,559532,553739,568750,547387,555944,563428,574143,572138,584427,589344,588416,580186,578034,589806,577227,586466,607045,589512,603255,604183,595988,603519,619692,610636,623688,635153,645805,645921,633477,638376,646634,646589,656144,659997,659235,678978,678720,687714,670814,659811,667451,679492,700303,690044,694545,705880,708692,691442,689117,689364,699019,718682,707854,704832,719455,732644,751201,747931,764140,734657,742583,747564,778183,786111,793603,798769,805120,805548,802837,802340,823220,837098,864886,871187,839524,840772,844241,844098,844564,869135,862101,858594,864932,861875,887270,870262,858567,871343,881757,860475,863365,841720,947900,890558,833302,847597,861232,862623,896938,858406,880558,908790,922932,881365,871948,879383,914864,905902,913629,940676,928435,910937,915017,920002,968184,955461,917203,925848,940366,939810,948997,970521,948453,998812,971434,993580,977358,974602,999058,1004965,1021586,998553,1004891,1041738,1071825,1027806,1053183,1158922,1074101,1090899,1064501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","36","E1USE1 C   User-operated transportation","E1USE10",466729,462709,461698,475930,482315,475953,482547,480205,484190,496964,501276,503073,509940,518827,511324,527305,505445,513872,521225,531852,529578,541526,546421,547025,538530,536222,547391,534479,542404,562238,545155,558347,559253,549910,557745,574758,567127,578800,589080,599664,598379,587475,591653,600191,597648,605932,612704,608468,629622,629613,636899,619937,610524,617148,628847,650798,637713,641839,654631,657366,639208,636014,635452,645175,665196,654905,651101,665313,678525,696810,694075,711141,680669,688298,691796,723622,730264,737704,742715,748956,749347,745112,744386,768178,780410,806839,811150,779654,780288,784157,784792,784519,808416,800992,797350,806744,802757,828569,812618,800228,814427,825281,804837,808079,796693,900065,841287,784931,797811,810250,811043,845563,806226,828365,857798,871500,831013,819995,829442,861231,852896,860916,886944,875128,856395,859737,863268,911391,899214,860412,869398,882060,882839,890777,911914,889441,940750,912316,933654,918467,917057,940379,944241,962664,938734,944978,979536,1009787,964593,989566,1094172,1011261,1027352,1001854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","37","E1PLT1 C   Purchased local transportation","E1PLT10",9048,9053,9091,9212,9259,9314,9402,9547,9491,9615,9677,9852,9504,9775,9795,9929,9935,9995,9944,9780,9969,9971,10044,10083,10055,10108,10186,10157,10229,10138,10023,10078,10162,10022,10087,10400,10282,10429,10872,10946,10907,10985,11166,10963,11033,10978,10868,10897,10873,10942,10959,11119,10869,11089,11150,11179,11215,11166,11275,11325,11536,11759,11807,11747,11805,11519,11927,12066,11755,11850,11940,11939,11930,11817,11787,11822,12056,11929,11830,11876,11889,12168,11992,11993,12256,11861,12073,12202,12166,12177,12279,12179,12347,12341,12360,12478,12417,12434,12334,12586,12451,12446,12618,12514,12464,12400,12410,12565,12583,12382,12166,12374,12342,12317,12196,12344,12255,12337,12465,12269,12368,12257,12654,12480,13368,13408,13540,13351,13652,13358,13422,13613,13456,13786,13909,13758,14011,14154,14128,14318,14189,14304,14709,14637,14492,14381,14603,14557,14473,14434,14630,14712,14833,14953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","38","E1PIT1 C   Purchased intercity transportation","E1PIT10",29777,29754,29949,29592,29516,30419,30178,30395,30782,30690,31630,30914,30969,30930,32621,31516,32008,32077,32260,32512,32591,32931,32878,31308,31601,31704,32230,32591,33833,34669,34335,34831,34768,36055,35687,34533,33226,34459,35201,35196,36635,35017,35557,35480,37908,39234,36425,39870,38483,38165,39856,39758,38418,39214,39495,38326,41115,41540,39974,40001,40698,41344,42105,42097,41681,41430,41805,42077,42364,42541,41916,41060,42058,42468,43981,42739,43791,43970,44224,44287,44312,45557,45962,43049,44432,46186,47965,47667,48319,47907,47027,47866,48372,48768,48884,45710,46702,46267,45310,45753,44465,44030,43020,42772,32562,35435,36861,35806,37204,38600,39413,39001,39838,39875,38796,39088,38098,39616,37475,41363,40638,40455,41078,40827,41173,41872,43193,43442,42595,43433,43027,44693,43515,44434,44698,45254,44050,44964,45797,44573,43356,44375,46015,44285,45327,45532,47599,47481,48740,49182,50120,48128,48714,47694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","39","E1RCR1 C Recreation","E1RCR10",341931,338679,340186,345983,348512,347305,352281,353843,358025,359068,361649,364701,363493,367749,373831,374947,378731,383476,385789,388449,390280,395957,398069,399692,403993,401612,407130,407672,414902,418264,418197,423402,428556,427311,431729,435043,432005,434298,439232,442521,443454,449315,452802,452241,452859,457776,458731,465174,460393,467561,470340,469720,470639,473174,475916,477050,478620,481000,483792,485500,491648,494727,495218,498757,500504,503166,508378,510999,512421,516176,516824,520760,522833,530660,534126,537600,541743,545636,547092,551787,557074,558227,558877,567149,567470,573891,583567,582216,583427,583283,588931,589304,594867,592889,595038,593665,599547,597299,598219,600206,603181,602442,606994,608089,593648,606935,615672,616058,623194,622925,622299,629236,629931,626461,628612,629273,633112,634865,636687,641924,641795,639018,642346,647235,650019,658058,658549,668937,671096,673675,675273,679717,685585,691005,696848,692903,698880,700262,705139,706229,708859,712331,713571,716655,724668,732926,733612,737126,740847,747732,747407,751666,748144,747245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","40","E1TED1 C Education and research","E1TED10",98905,99388,99706,99967,100498,101074,101795,102432,102884,103298,103694,104119,104446,104790,105263,105610,106184,106765,107477,108138,108710,109207,110025,110753,111261,111845,112402,113095,113661,114114,114509,115179,115501,116230,116789,117563,118585,119375,120165,121016,121699,122335,123170,124156,124463,125115,125590,126125,126127,126434,126768,127492,128233,129084,129828,130640,131651,132416,133350,134164,135577,136470,137385,138050,138823,139591,140365,140795,141453,142746,144052,145024,145547,146292,147131,148414,149134,149869,150873,151598,152613,153574,154741,156067,157551,158737,160010,160691,161841,163445,164654,165339,166738,167804,168727,169708,171378,172808,174017,175488,177322,178540,178955,179242,180682,181996,182879,183616,184148,185269,186474,187716,188257,189751,191493,193083,193355,193602,194203,194805,196487,197942,198598,198405,198285,198980,200009,202483,202743,203094,203584,204620,206209,207999,209557,208607,209623,209979,211372,212239,213597,214368,215603,216686,218178,218918,220318,221467,222560,224130,225417,226496,227403,227835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","41","E1RAW1 C Religious and welfare activities","E1RAW10",104535,104109,104536,105125,105793,106240,106787,107358,107722,108059,108304,109033,109994,110727,111449,112193,113454,114761,116124,117230,118223,119235,119944,119668,118655,118277,118675,119271,119642,120148,120220,120659,121186,121826,122478,123237,124702,126146,127564,128126,129097,130521,131389,132127,132935,134032,134748,134179,132590,131887,132021,132621,133088,133539,134194,134807,135507,136179,136850,137524,138739,139934,141351,142686,144116,145486,147300,148767,149837,150542,151381,151400,150654,150377,150965,151658,152387,153350,154461,155427,156573,157890,159305,160689,163175,165221,167579,168909,170225,171516,172882,174152,176007,177905,180001,179844,179726,180001,181323,182836,184366,186070,187411,188859,190355,191216,192145,193337,193297,194057,194959,196747,198198,199999,201726,203310,203814,204269,205310,205392,205110,204757,205750,205799,205986,206374,206528,207000,207087,208066,208779,209613,212522,214303,215779,215814,216480,217307,219459,220835,222568,224586,224796,223265,221646,221252,221831,222909,223683,224632,225465,226501,227525,228335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","42","E1FTO1 C Foreign travel and other, net","E1FTO10",-20408,-22827,-20304,-21607,-22594,-21672,-21659,-20938,-19143,-21712,-13852,-20271,-13769,-14315,-22142,-16992,-16987,-19880,-18646,-15359,-15267,-15754,-19935,-19589,-22183,-16406,-15692,-21295,-20829,-11451,-23101,-22564,-26553,-23851,-25398,-27003,-22926,-18870,-25579,-22866,-28732,-27256,-17438,-18787,-19229,-30775,-31017,-27325,-24785,-21932,-22603,-22868,-20936,-19676,-18787,-20363,-22472,-22490,-18928,-17665,-18021,-16588,-14315,-17506,-15635,-12120,-10000,-10752,-9550,-10275,-10827,-14331,-13937,-13433,-11692,-12452,-13401,-14006,-12848,-12452,-13856,-14454,-14911,-13990,-15953,-14202,-11588,-16848,-13014,-13594,-11802,-11584,-11059,-11539,-12348,-12736,-12943,-12382,-14797,-3157,-3907,-7131,-5927,-6969,-3347,-5078,-6366,-6467,-2538,-2251,-4303,-3121,-4200,-1689,-3164,-9865,-4650,-7523,-11196,-7141,714,-971,1071,2576,-2207,788,2369,1948,-1632,-3626,-4265,-3344,3481,660,-941,-2241,2183,2433,-380,-172,-244,87,-2349,-1658,840,-1351,-4571,-6549,-5579,-3703,-5420,-5684,-6737,-7535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
